date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:48	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:40:35%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/files/25/eSports_en.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/files/25/eSports_en.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:50	2645623/2645623	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:40:33%20GMT	https://web.archive.org/web/20190301110925im_/https://tankisport.com/files/25/eSports_en.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110925im_/https_/tankisport.com/files/25/eSports_en.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:53	141010/141010	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:40:38%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/82	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/82	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:40:40%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/photos/5be1498258b1e.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/photos/5be1498258b1e.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:55	2645623/2645623	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:40:38%20GMT	https://web.archive.org/web/20190301110925/https://tankisport.com/files/25/eSports_en.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110925/https_/tankisport.com/files/25/eSports_en.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:57	369737/369737	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:40:43%20GMT	https://web.archive.org/web/20190301110921im_/https://tankisport.com/photos/5be1498258b1e.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110921im_/https_/tankisport.com/photos/5be1498258b1e.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:58	141009/141009	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:40:44%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/76	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/76	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:40:45%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/photos/5bdeecba7d8de.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/photos/5bdeecba7d8de.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:59	369612/369612	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:40:45%20GMT	https://web.archive.org/web/20190301110929im_/https://tankisport.com/photos/5bdeecba7d8de.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110929im_/https_/tankisport.com/photos/5bdeecba7d8de.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:40:59	141011/141011	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:40:46%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/79	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/79	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
